condition,day,risk_quartile,predicted_survival,observed_survival_KM
External original,365,1,0.5863469278689243,0.9023868996569464
External original,365,2,0.6348255073430685,0.9028904054596546
External original,365,3,0.6569975042104964,0.9026415094339625
External original,365,4,0.6906836279757229,0.8765012161751291
External original,730,1,0.3277463778434473,0.8814011578044594
External original,730,2,0.38590444376067434,0.8205214561896512
External original,730,3,0.41469772972384944,0.7617027474346245
External original,730,4,0.46076552099836354,0.8101166567985787
External original,1095,1,0.23727171619059984,0.809226869448263
External original,1095,2,0.292363842945279,0.7466141926725686
External original,1095,3,0.3208442475415865,0.6679112524862266
External original,1095,4,0.3677545208046553,0.7600800397610193
External recalibrated,365,1,0.8749709673317861,0.9023868996569464
External recalibrated,365,2,0.8895672993194489,0.9028904054596546
External recalibrated,365,3,0.8960440270857696,0.9026415094339625
External recalibrated,365,4,0.9057321238590959,0.8765012161751291
External recalibrated,730,1,0.790977366361405,0.8814011578044594
External recalibrated,730,2,0.8142341391790844,0.8205214561896512
External recalibrated,730,3,0.8246743502658115,0.7617027474346245
External recalibrated,730,4,0.8404101736462017,0.8101166567985787
External recalibrated,1095,1,0.709927344851675,0.809226869448263
External recalibrated,1095,2,0.7405529884405458,0.7466141926725686
External recalibrated,1095,3,0.7544727999799474,0.6679112524862266
External recalibrated,1095,4,0.7756248855751812,0.7600800397610193
Internal LUNG1 out-of-fold,365,1,0.5789298652873347,0.4705188679245282
Internal LUNG1 out-of-fold,365,2,0.6293013762123598,0.6509433962264154
Internal LUNG1 out-of-fold,365,3,0.656724234838309,0.7714285714285719
Internal LUNG1 out-of-fold,365,4,0.6960686532516807,0.6952380952380953
Internal LUNG1 out-of-fold,730,1,0.3182697326808799,0.23045822102425878
Internal LUNG1 out-of-fold,730,2,0.3778696615943675,0.4211986681465039
Internal LUNG1 out-of-fold,730,3,0.4153220787941707,0.5238095238095241
Internal LUNG1 out-of-fold,730,4,0.4662397212047533,0.43809523809523826
Internal LUNG1 out-of-fold,1095,1,0.22773285471880164,0.1440363881401617
Internal LUNG1 out-of-fold,1095,2,0.2845687031821534,0.3063263041065484
Internal LUNG1 out-of-fold,1095,3,0.3227355222630283,0.42857142857142866
Internal LUNG1 out-of-fold,1095,4,0.3715549436494649,0.3714285714285715
