condition,model,day,threshold,net_benefit,treat_all,treat_none,ci_lower,ci_upper,n,bootstrap_resamples,treat_all_ci_lower,treat_all_ci_upper
Transductive,Deep,365,0.05,0.05716768326241517,0.05716768326241517,0.0,0.01412081731679704,0.10241385349497976,211,2000,0.01412081731679704,0.10241385349497976
Transductive,Deep,365,0.1,0.004788110110327175,0.004788110110327175,0.0,-0.04065024838782537,0.052547956466922924,211,2000,-0.04065024838782537,0.052547956466922924
Transductive,Deep,365,0.15,-0.053753765765535866,-0.053753765765535866,0.0,-0.1018649688812269,-0.0031845166820817844,211,2000,-0.1018649688812269,-0.0031845166820817844
Transductive,Deep,365,0.2,-0.11961337612588177,-0.11961337612588177,0.0,-0.1707315294363036,-0.06588354897471208,211,2000,-0.1707315294363036,-0.06588354897471208
Transductive,Deep,365,0.25,-0.19425426786760713,-0.19425426786760713,0.0,-0.24878029806539054,-0.13694245223969306,211,2000,-0.24878029806539054,-0.13694245223969306
Transductive,Deep,365,0.3,-0.27955814414386476,-0.27955814414386476,0.0,-0.33797889078434706,-0.21815262739967142,211,2000,-0.33797889078434706,-0.21815262739967142
Transductive,Deep,365,0.35,-0.17809238477226366,-0.3779856936933927,0.0,-0.23739099851149678,-0.11816943780315502,211,2000,-0.4409003439216045,-0.3118566756611848
Transductive,Deep,365,0.4,-0.0277742407003158,-0.49281783483450875,0.0,-0.053750891062816705,-0.002386041957894828,211,2000,-0.5609753725817384,-0.4211780652996171
Transductive,Deep,365,0.45,0.0,-0.6285285470921911,0.0,0.0,0.0,211,2000,-0.7028822246346236,-0.5503760712359461
Transductive,Deep,365,0.5,0.0,-0.79138140180141,0.0,0.0,0.0,211,2000,-0.8731704470980861,-0.705413678359541
Transductive,Deep,365,0.55,0.0,-0.9904237797793447,0.0,0.0,0.0,211,2000,-1.0813004967756514,-0.8949040870661573
Transductive,Deep,365,0.6,0.0,-1.2392267522517622,0.0,0.0,0.0,211,2000,-1.3414630588726073,-1.131767097949427
Transductive,Deep,365,0.65,0.0,-1.5591162882877285,0.0,0.0,0.0,211,2000,-1.6759577815686946,-1.436305254799346
Transductive,Deep,365,0.7,0.0,-1.9856356696690156,0.0,0.0,0.0,211,2000,-2.1219507451634767,-1.842356130599237
Transductive,Deep,365,0.75,0.0,-2.582762803602819,0.0,0.0,0.0,211,2000,-2.7463408941961722,-2.410827356719085
Transductive,Deep,365,0.8,0.0,-3.4784535045035243,0.0,0.0,0.0,211,2000,-3.682926117745217,-3.2635341958988575
Transductive,Deep,365,0.85,0.0,-4.97127133933803,0.0,0.0,0.0,211,2000,-5.243901490326953,-4.684712261198477
Transductive,Deep,365,0.9,0.0,-7.956907009007047,0.0,0.0,0.0,211,2000,-8.365852235490433,-7.527068391797719
Transductive,Deep,730,0.05,0.13986152921776068,0.13986152921776068,0.0,0.08595524315252799,0.19965837911499917,211,2000,0.08595524315252799,0.19965837911499917
Transductive,Deep,730,0.1,0.09207605861874742,0.09207605861874742,0.0,0.03517497888322396,0.15519495573249917,211,2000,0.03517497888322396,0.15519495573249917
Transductive,Deep,730,0.15,0.03866876794926201,0.03866876794926201,0.0,-0.021579434123645234,0.10550054136382273,211,2000,-0.021579434123645234,0.10550054136382273
Transductive,Deep,730,0.2,-0.021414434053909068,-0.021414434053909068,0.0,-0.0854281487563731,0.04959432519906171,211,2000,-0.0854281487563731,0.04959432519906171
Transductive,Deep,730,0.25,-0.08950872965750295,-0.08950872965750295,0.0,-0.1577900253401313,-0.013766053121000762,211,2000,-0.1577900253401313,-0.013766053121000762
Transductive,Deep,730,0.3,-0.167330781775896,-0.167330781775896,0.0,-0.2404893128644265,-0.08617791405821508,211,2000,-0.2404893128644265,-0.08617791405821508
Transductive,Deep,730,0.35,-0.25712545729711866,-0.25712545729711866,0.0,-0.33591156770015157,-0.16973006129346221,211,2000,-0.33591156770015157,-0.16973006129346221
Transductive,Deep,730,0.4,-0.36188591207187865,-0.36188591207187865,0.0,-0.44723753167516445,-0.2672075664012507,211,2000,-0.44723753167516445,-0.2672075664012507
Transductive,Deep,730,0.45,-0.4856937222602311,-0.4856937222602311,0.0,-0.5788045800092703,-0.3824082542559097,211,2000,-0.5788045800092703,-0.3824082542559097
Transductive,Deep,730,0.5,-0.6342630944862542,-0.6342630944862542,0.0,-0.7366850380101972,-0.5206490796815006,211,2000,-0.7366850380101972,-0.5206490796815006
Transductive,Deep,730,0.55,-0.7942785128057521,-0.8158478827625049,0.0,-0.9096955255498804,-0.670045830332858,211,2000,-0.929650042233553,-0.6896100885350007
Transductive,Deep,730,0.6,-0.39692354470797364,-1.0428288681078173,0.0,-0.5145997497951548,-0.28632260946715815,211,2000,-1.1708562975127468,-0.9008113496018754
Transductive,Deep,730,0.65,-0.10140907826803534,-1.3346615635517916,0.0,-0.1759827445875364,-0.03639156504740593,211,2000,-1.480978625728854,-1.1723558281164292
Transductive,Deep,730,0.7,0.0,-1.723771824143756,0.0,0.0,0.0,211,2000,-1.894475063350329,-1.5344151328025
Transductive,Deep,730,0.75,0.0,-2.2685261889725075,0.0,0.0,0.0,211,2000,-2.473370076020395,-2.0412981593630004
Transductive,Deep,730,0.8,0.0,-3.085657736215635,0.0,0.0,0.0,211,2000,-3.3417125950254944,-2.8016226992037505
Transductive,Deep,730,0.85,0.0,-4.447543648287512,0.0,0.0,0.0,211,2000,-4.788950126700658,-4.0688302656049995
Transductive,Deep,730,0.9,0.0,-7.17131547243127,0.0,0.0,0.0,211,2000,-7.683425190050991,-6.603245398407501
Transductive,Deep,1095,0.05,0.21665827476860963,0.21665827476860963,0.0,0.152410447579083,0.28560049066812626,211,2000,0.152410447579083,0.28560049066812626
Transductive,Deep,1095,0.1,0.17314741412043108,0.17314741412043108,0.0,0.10532780566336566,0.2459182144187775,211,2000,0.10532780566336566,0.2459182144187775
Transductive,Deep,1095,0.15,0.12451762869011386,0.12451762869011386,0.0,0.05270602940462272,0.20156743508127012,211,2000,0.05270602940462272,0.20156743508127012
Transductive,Deep,1095,0.2,0.06980912008100701,0.06980912008100701,0.0,-0.006493468886463083,0.15167280832657423,211,2000,-0.006493468886463083,0.15167280832657423
Transductive,Deep,1095,0.25,0.007806143657352557,0.007806143657352557,0.0,-0.07358623361636031,0.0951255646712523,211,2000,-0.07358623361636031,0.0951255646712523
Transductive,Deep,1095,0.3,-0.063054400826824,-0.063054400826824,0.0,-0.1502636790219572,0.030500143350884325,211,2000,-0.1502636790219572,0.030500143350884325
Transductive,Deep,1095,0.35,-0.1448165675393353,-0.1448165675393353,0.0,-0.23873765448995354,-0.04406765048030945,211,2000,-0.23873765448995354,-0.04406765048030945
Transductive,Deep,1095,0.4,-0.2402057620372653,-0.2402057620372653,0.0,-0.3419572925359494,-0.13106340995003563,211,2000,-0.3419572925359494,-0.13106340995003563
Transductive,Deep,1095,0.45,-0.35293844644390965,-0.35293844644390965,0.0,-0.4639441374993988,-0.23387658023243912,211,2000,-0.4639441374993988,-0.23387658023243912
Transductive,Deep,1095,0.5,-0.488217667731883,-0.488217667731883,0.0,-0.6103283514555383,-0.3572523845713234,211,2000,-0.6103283514555383,-0.3572523845713234
Transductive,Deep,1095,0.55,-0.6535589381949617,-0.6535589381949617,0.0,-0.7892423907352647,-0.5080450343188488,211,2000,-0.7892423907352647,-0.5080450343188488
Transductive,Deep,1095,0.6,-0.8602355262738096,-0.8602355262738096,0.0,-1.0128849398349216,-0.6965358465032552,211,2000,-1.0128849398349216,-0.6965358465032552
Transductive,Deep,1095,0.65,-1.0570016720979207,-1.1259625680894718,0.0,-1.239020910696105,-0.8674328504370183,211,2000,-1.3004253601059101,-0.9388811764546353
Transductive,Deep,1095,0.7,-0.48813748182853683,-1.480265290510354,0.0,-0.6611551253435197,-0.32093328692354456,211,2000,-1.683812587133894,-1.2620082830564747
Transductive,Deep,1095,0.75,-0.037105953607105224,-1.9762891018995898,0.0,-0.11872528998305781,0.026048352279418947,211,2000,-2.2205547049730727,-1.7143862322990506
Transductive,Deep,1095,0.8,0.0,-2.7203248189834435,0.0,0.0,0.0,211,2000,-3.02566788173184,-2.392953156162915
Transductive,Deep,1095,0.85,0.0,-3.9603843474565315,0.0,0.0,0.0,211,2000,-4.367523176329784,-3.523898029269353
Transductive,Deep,1095,0.9,0.0,-6.440503404402711,0.0,0.0,0.0,211,2000,-7.051233765525676,-5.78579019087511
Transductive,Joint,365,0.05,0.05716768326241517,0.05716768326241517,0.0,0.01412081731679704,0.10241385349497976,211,2000,,
Transductive,Joint,365,0.1,0.004788110110327175,0.004788110110327175,0.0,-0.04065024838782537,0.052547956466922924,211,2000,,
Transductive,Joint,365,0.15,-0.053753765765535866,-0.053753765765535866,0.0,-0.1018649688812269,-0.0031845166820817844,211,2000,,
Transductive,Joint,365,0.2,-0.11961337612588177,-0.11961337612588177,0.0,-0.1707315294363036,-0.06588354897471208,211,2000,,
Transductive,Joint,365,0.25,-0.19425426786760713,-0.19425426786760713,0.0,-0.24878029806539054,-0.13694245223969306,211,2000,,
Transductive,Joint,365,0.3,-0.25087839263719186,-0.27955814414386476,0.0,-0.31183573752444294,-0.18757167387221954,211,2000,,
Transductive,Joint,365,0.35,-0.21196356263785457,-0.3779856936933927,0.0,-0.26363288590171124,-0.1573646347426105,211,2000,,
Transductive,Joint,365,0.4,-0.05119016418794697,-0.49281783483450875,0.0,-0.08684477568410254,-0.013434055338765067,211,2000,,
Transductive,Joint,365,0.45,-0.014697999441323342,-0.6285285470921911,0.0,-0.043356482858604384,0.012402481853670733,211,2000,,
Transductive,Joint,365,0.5,0.0,-0.79138140180141,0.0,0.0,0.0,211,2000,,
Transductive,Joint,365,0.55,0.0,-0.9904237797793447,0.0,0.0,0.0,211,2000,,
Transductive,Joint,365,0.6,0.0,-1.2392267522517622,0.0,0.0,0.0,211,2000,,
Transductive,Joint,365,0.65,0.0,-1.5591162882877285,0.0,0.0,0.0,211,2000,,
Transductive,Joint,365,0.7,0.0,-1.9856356696690156,0.0,0.0,0.0,211,2000,,
Transductive,Joint,365,0.75,0.0,-2.582762803602819,0.0,0.0,0.0,211,2000,,
Transductive,Joint,365,0.8,0.0,-3.4784535045035243,0.0,0.0,0.0,211,2000,,
Transductive,Joint,365,0.85,0.0,-4.97127133933803,0.0,0.0,0.0,211,2000,,
Transductive,Joint,365,0.9,0.0,-7.956907009007047,0.0,0.0,0.0,211,2000,,
Transductive,Joint,730,0.05,0.13986152921776068,0.13986152921776068,0.0,0.08595524315252799,0.19965837911499917,211,2000,,
Transductive,Joint,730,0.1,0.09207605861874742,0.09207605861874742,0.0,0.03517497888322396,0.15519495573249917,211,2000,,
Transductive,Joint,730,0.15,0.03866876794926201,0.03866876794926201,0.0,-0.021579434123645234,0.10550054136382273,211,2000,,
Transductive,Joint,730,0.2,-0.021414434053909068,-0.021414434053909068,0.0,-0.0854281487563731,0.04959432519906171,211,2000,,
Transductive,Joint,730,0.25,-0.08950872965750295,-0.08950872965750295,0.0,-0.1577900253401313,-0.013766053121000762,211,2000,,
Transductive,Joint,730,0.3,-0.167330781775896,-0.167330781775896,0.0,-0.2404893128644265,-0.08617791405821508,211,2000,,
