component,coef_LUNG1,coef_Radiogenomics,cv_stability
age,0.0340105677689989,1.9024835728549287e-08,0.9612342910469768
gender_male,0.0265610030484261,0.0748273219157092,0.8941682028545672
stage_I,2.2680338933006143e-08,-1.1772080288587063e-08,0.3077790180209448
stage_II,6.259967486211904e-09,-2.8764247376939835e-10,0.5131800306460513
stage_III,-2.7301514493095488e-08,0.1915789862244662,0.2803685044661536
hist_adeno,-9.213429525678736e-09,-1.4370297229369035e-08,0.9507839583353614
hist_squamous,9.7052851166322e-08,1.2116127713290518e-08,2.2360388611755684
hist_large_cell,-5.561546915436058e-08,-1.862003197668169e-07,0.2764944247218215
hist_nos,-2.320023979673338e-08,6.053023644586543e-08,0.4989713082011375
rad_pca_0,0.0188224811398205,-4.689948444843723e-10,0.2698501340190295
rad_pca_1,7.448308236418481e-09,-0.0034436326661603,0.1989472849157133
rad_pca_2,2.131580008543788e-08,7.915665267219845e-09,1.525924182643826
rad_pca_3,-3.447621903547623e-08,-5.938300045840872e-09,2.236011165257292
rad_pca_4,1.2654517299671616e-08,-1.1679567563170096e-08,0.2824752672767837
rad_pca_5,-1.6367210506963262e-08,-2.437845058684758e-09,0.2104121775015596
rad_pca_6,3.80841776010716e-09,0.0285736845883063,0.3597262331008415
rad_pca_7,2.781613845035664e-08,6.110970332615303e-09,0.2963985806847978
rad_pca_8,-1.4601203894154257e-08,6.5219532924983805e-09,0.40690158347389
rad_pca_9,-4.136305336976528e-09,-4.370215583319306e-09,1.0625360260700878
rad_pca_10,-4.131490124402665e-09,1.2410652648887436e-08,0.5390435840098755
rad_pca_11,-9.421845112146845e-08,3.4680856623771055e-08,2.18197704040611
rad_pca_12,-6.130131743581461e-08,-1.7871902639671028e-08,2.2358012243340557
rad_pca_13,2.017921342335144e-08,4.7676456515714464e-08,0.5811618341999552
rad_pca_14,-6.863063642530304e-08,-2.4660490325910612e-08,0.3039027329915984
rad_pca_15,6.443792050812172e-08,1.0922355457905185e-08,0.3112287291454586
