Characteristic,LUNG1 (n=422),Radiogenomics (n=211),p,SMD (largest level)
"Age, median (IQR), y",68.6 (61.2–75.8),68.0 (64.0–75.0),0.801,0.007
"Age missing, n",22,0,—,—
"Male, n (%)",290 (68.7),135 (64.0),0.268,0.100
"Stage, n (%)",,,<0.001*,1.579
  I,93 (22.0),103 (48.8),—,0.583
  II,40 (9.5),37 (17.5),—,0.237
  III,288 (68.2),17 (8.1),—,1.579
  IV,0 (0.0),5 (2.4),—,0.220
  Unknown,1 (0.2),49 (23.2),—,0.765
"Histology, n (%)",,,<0.001,1.937
  Adenocarcinoma,51 (12.1),172 (81.5),—,1.937
  Squamous,152 (36.0),35 (16.6),—,0.452
  Large cell,114 (27.0),0 (0.0),—,0.860
  NOS,63 (14.9),4 (1.9),—,0.483
  Missing,42 (10.0),0 (0.0),—,0.470
"Event status, n (%)",373 (88.4),63 (29.9),<0.001,1.482
"Survival, S(365), KM",0.647,0.896,—,—
"Survival, S(730), KM",0.403,0.817,—,—
"Survival, S(1095), KM",0.313,0.744,—,—
